iter	Passed	Remaining
0	191	95803
1	212	52819
2	236	39151
3	257	31904
4	270	26758
5	275	22686
6	281	19799
7	300	18453
8	322	17574
9	345	16936
10	368	16384
11	377	15356
12	389	14602
13	394	13705
14	409	13254
15	432	13097
16	455	12938
17	478	12801
18	500	12676
19	523	12552
20	545	12451
21	568	12357
22	591	12272
23	604	11981
24	627	11923
25	650	11856
26	656	11497
27	678	11434
28	695	11291
29	718	11256
30	740	11205
31	764	11182
32	788	11160
33	812	11136
34	838	11135
35	860	11087
36	882	11040
37	905	11007
38	927	10959
39	949	10921
40	971	10876
41	993	10831
42	1005	10686
43	1017	10549
44	1040	10517
45	1062	10482
46	1087	10477
47	1111	10463
48	1135	10447
49	1151	10363
50	1173	10334
51	1196	10307
52	1219	10283
53	1243	10267
54	1269	10270
55	1291	10235
56	1313	10205
57	1335	10175
58	1357	10150
59	1379	10118
60	1402	10093
61	1425	10070
62	1447	10042
63	1469	10013
64	1492	9985
65	1507	9910
66	1530	9890
67	1554	9878
68	1579	9866
69	1585	9741
70	1607	9711
71	1616	9607
72	1637	9581
73	1660	9557
74	1665	9437
75	1687	9416
76	1710	9394
77	1733	9380
78	1757	9365
79	1781	9350
80	1806	9344
81	1829	9324
82	1852	9307
83	1879	9309
84	1903	9293
85	1928	9285
86	1953	9273
87	1978	9261
88	2004	9255
89	2031	9253
90	2056	9245
91	2070	9181
92	2091	9151
93	2113	9130
94	2136	9107
95	2158	9083
96	2182	9066
97	2204	9042
98	2227	9024
99	2238	8954
100	2263	8941
101	2285	8919
102	2308	8899
103	2331	8876
104	2353	8855
105	2376	8833
106	2398	8809
107	2420	8785
108	2443	8764
109	2466	8743
110	2489	8723
111	2512	8703
112	2534	8681
113	2556	8657
114	2580	8639
115	2603	8618
116	2626	8596
117	2647	8571
118	2685	8598
119	2710	8584
120	2733	8561
121	2756	8541
122	2766	8480
123	2779	8428
124	2803	8411
125	2827	8392
126	2849	8369
127	2871	8346
128	2893	8322
129	2915	8299
130	2938	8277
131	2961	8255
132	2983	8232
133	3006	8210
134	3028	8187
135	3044	8147
136	3059	8107
137	3081	8082
138	3096	8041
139	3118	8018
140	3127	7962
141	3149	7940
142	3171	7917
143	3194	7897
144	3217	7878
145	3245	7868
146	3267	7847
147	3289	7824
148	3312	7802
149	3333	7778
150	3355	7756
151	3378	7733
152	3400	7711
153	3422	7688
154	3443	7665
155	3465	7642
156	3487	7618
157	3508	7595
158	3531	7572
159	3552	7550
160	3574	7527
161	3598	7507
162	3622	7488
163	3645	7468
164	3667	7445
165	3690	7425
166	3713	7405
167	3736	7384
168	3764	7372
169	3790	7358
170	3813	7337
171	3835	7315
172	3858	7293
173	3880	7270
174	3902	7247
175	3924	7224
176	3946	7202
177	3968	7178
178	3990	7155
179	4011	7132
180	4033	7109
181	4055	7086
182	4077	7064
183	4101	7043
184	4123	7020
185	4144	6997
186	4166	6974
187	4189	6952
188	4211	6930
189	4236	6912
190	4259	6890
191	4281	6867
192	4303	6844
193	4325	6822
194	4350	6804
195	4372	6782
196	4395	6760
197	4419	6740
198	4441	6718
199	4463	6695
200	4486	6673
201	4509	6652
202	4531	6630
203	4553	6607
204	4577	6587
205	4601	6567
206	4624	6545
207	4647	6523
208	4669	6501
209	4692	6480
210	4716	6460
211	4739	6439
212	4764	6420
213	4787	6398
214	4810	6376
215	4833	6355
216	4857	6334
217	4878	6311
